date,merchant,category,amount,type
2026-06-01,Contoso Payroll,Income,5200.00,income
2026-06-02,Northwind Grocers,Groceries,142.37,expense
2026-06-03,City Transit,Transport,52.00,expense
2026-06-04,Fourth Coffee,Dining,18.45,expense
2026-06-05,Wide World Rent,Housing,1850.00,expense
2026-06-08,Adventure Works Gym,Health,64.99,expense
2026-06-09,Northwind Grocers,Groceries,91.12,expense
2026-06-10,Blue Yonder Streaming,Entertainment,17.99,expense
2026-06-11,City Power,Utilities,136.74,expense
2026-06-12,Fabrikam Books,Education,44.50,expense
2026-06-12,Fabrikam Books,Education,44.50,expense
2026-06-15,Fourth Coffee,Dining,22.10,expense
